transaction_id,date,store_id,product_id,transaction_type,amount,quantity,employee_id,customer_id
T00036,2026-08-08,S003,P110,SALE,1999,1,E006,C0154
T00037,2026-08-14,S008,P106,SALE,1499,1,E004,C0155
T00038,2026-08-25,S005,P105,SALE,2999,1,E005,C0046
T00039,2026-08-16,S001,P104,SALE,5999,1,E006,C0054
T00040,2026-08-01,S008,P109,VOID,3299,1,E001,C0139
T00041,2026-08-11,S010,P106,SALE,1499,1,E003,C0138
T00042,2026-08-03,S008,P106,SALE,1499,1,E005,C0191
T00043,2026-08-27,S009,P102,SALE,3499,1,E001,C0060
T00044,2026-08-26,S004,P104,SALE,5999,1,E001,C0180
T00045,2026-08-02,S005,P106,RETURN,1499,1,E004,C0073
T00046,2026-08-04,S006,P110,SALE,1999,1,E001,C0050
T00047,2026-08-12,S008,P109,VOID,3299,1,E003,C0068
T00048,2026-08-11,S006,P108,RETURN,3999,1,E001,C0010
T00049,2026-08-12,S002,P101,SALE,4999,1,E006,C0124
T00050,2026-08-18,S012,P108,DISCOUNT,3199,1,E002,C0001
T00051,2026-08-07,S003,P108,VOID,3999,1,E004,C0028
T00052,2026-08-08,S008,P102,SALE,3499,1,E003,C0082
T00053,2026-08-23,S007,P109,VOID,3299,1,E001,C0155
T00054,2026-08-03,S002,P107,DISCOUNT,1839,1,E003,C0174
T00055,2026-08-13,S011,P104,SALE,5999,1,E003,C0166
T00056,2026-08-24,S008,P110,SALE,1999,1,E005,C0127
T00057,2026-08-14,S003,P104,SALE,5999,1,E001,C0197
T00058,2026-08-05,S010,P105,SALE,2999,1,E002,C0192
T00059,2026-08-15,S001,P104,SALE,5999,1,E005,C0022
T00060,2026-08-18,S001,P101,SALE,4999,1,E004,C0043
T00061,2026-08-01,S007,P103,SALE,7999,1,E001,C0026
T00062,2026-08-02,S012,P101,REFUND,4999,1,E002,C0170
T00063,2026-08-06,S010,P108,RETURN,3999,1,E001,C0032
T00064,2026-08-11,S004,P110,SALE,1999,1,E006,C0154
T00065,2026-08-27,S011,P101,DISCOUNT,3999,1,E005,C0054
T00066,2026-08-09,S002,P103,DISCOUNT,6399,1,E001,C0053
T00067,2026-08-17,S010,P106,VOID,1499,1,E003,C0033
T00068,2026-08-11,S002,P109,SALE,3299,1,E001,C0086
T00069,2026-08-07,S003,P104,SALE,5999,1,E002,C0063
T00070,2026-08-10,S004,P110,SALE,1999,1,E005,C0063
T00071,2026-08-03,S001,P107,VOID,2299,1,E003,C0128
T00072,2026-08-15,S012,P105,SALE,2999,1,E005,C0119
T00073,2026-08-22,S003,P107,DISCOUNT,1839,1,E001,C0095
T00074,2026-08-04,S009,P108,REFUND,3999,1,E004,C0075
T00075,2026-08-08,S005,P105,VOID,2999,1,E005,C0174
T00076,2026-08-06,S003,P109,DISCOUNT,2639,1,E001,C0196
T00077,2026-08-22,S008,P102,DISCOUNT,2799,1,E006,C0100
T00078,2026-08-27,S001,P108,DISCOUNT,3199,1,E001,C0073
T00079,2026-08-14,S007,P101,VOID,4999,1,E002,C0140
T00080,2026-08-11,S001,P105,VOID,2999,1,E006,C0170
T00081,2026-08-10,S001,P109,SALE,3299,1,E006,C0173
T00082,2026-08-02,S001,P101,RETURN,4999,1,E001,C0136
T00083,2026-08-15,S004,P108,SALE,3999,1,E001,C0114
T00084,2026-08-18,S007,P103,SALE,7999,1,E006,C0139
T00085,2026-08-02,S008,P110,RETURN,1999,1,E006,C0106
T00086,2026-08-19,S004,P108,DISCOUNT,3199,1,E001,C0055
T00087,2026-08-23,S009,P108,SALE,3999,1,E006,C0021
T00088,2026-08-02,S012,P108,SALE,3999,1,E001,C0032
T00089,2026-08-09,S012,P105,SALE,2999,1,E003,C0174
T00090,2026-08-23,S003,P110,VOID,1999,1,E004,C0200
T00091,2026-08-14,S004,P103,SALE,7999,1,E006,C0147
T00092,2026-08-19,S001,P103,RETURN,7999,1,E002,C0082
T00093,2026-08-21,S012,P107,REFUND,2299,1,E006,C0180
T00094,2026-08-13,S011,P105,DISCOUNT,2399,1,E003,C0156
T00095,2026-08-15,S002,P107,SALE,2299,1,E001,C0110
T00096,2026-08-15,S012,P107,RETURN,2299,1,E004,C0143
T00097,2026-08-22,S003,P102,SALE,3499,1,E003,C0124
T00098,2026-08-20,S002,P105,REFUND,2999,1,E001,C0054
T00099,2026-08-02,S011,P104,VOID,5999,1,E005,C0030
T00100,2026-08-21,S001,P109,SALE,3299,1,E001,C0169
T00101,2026-08-02,S002,P102,SALE,3499,1,E003,C0001
T00102,2026-08-23,S002,P103,SALE,7999,1,E003,C0072
T00103,2026-08-15,S009,P102,SALE,3499,1,E003,C0134
T00104,2026-08-08,S001,P101,DISCOUNT,3999,1,E006,C0058
T00105,2026-07-31,S010,P105,SALE,2999,1,E006,C0046
T00106,2026-08-17,S002,P102,SALE,3499,1,E005,C0085
T00107,2026-08-14,S009,P110,REFUND,1999,1,E006,C0112
T00108,2026-08-02,S009,P103,VOID,7999,1,E004,C0001
T00109,2026-08-09,S005,P102,DISCOUNT,2799,1,E006,C0124
T00110,2026-08-16,S009,P101,SALE,4999,1,E002,C0115
T00111,2026-08-24,S012,P108,SALE,3999,1,E003,C0106
T00112,2026-08-01,S009,P110,SALE,1999,1,E001,C0075
T00113,2026-08-10,S005,P105,RETURN,2999,1,E001,C0010
T00114,2026-08-01,S006,P109,DISCOUNT,2639,1,E001,C0175
T00115,2026-08-16,S012,P103,RETURN,7999,1,E006,C0078
T00116,2026-08-24,S007,P108,RETURN,3999,1,E001,C0120
T00117,2026-08-10,S008,P102,SALE,3499,1,E002,C0082
T00118,2026-08-14,S001,P108,VOID,3999,1,E002,C0194
T00119,2026-08-27,S005,P103,VOID,7999,1,E003,C0098
T00120,2026-08-25,S007,P101,SALE,4999,1,E006,C0184
T00121,2026-08-19,S002,P105,REFUND,2999,1,E001,C0061
T00122,2026-08-18,S011,P110,SALE,1999,1,E005,C0012
T00123,2026-08-22,S007,P104,SALE,5999,1,E005,C0142
T00124,2026-08-03,S007,P106,VOID,1499,1,E002,C0112
T00125,2026-08-20,S009,P109,VOID,3299,1,E006,C0114
T00126,2026-08-02,S007,P109,REFUND,3299,1,E003,C0014
T00127,2026-08-25,S008,P109,SALE,3299,1,E002,C0168
T00128,2026-08-04,S008,P103,SALE,7999,1,E001,C0052
T00129,2026-08-10,S001,P108,SALE,3999,1,E006,C0026
T00130,2026-08-12,S003,P103,VOID,7999,1,E002,C0032
T00131,2026-08-23,S011,P110,REFUND,1999,1,E001,C0163
T00132,2026-08-03,S007,P101,SALE,4999,1,E005,C0184
T00133,2026-08-19,S002,P109,VOID,3299,1,E001,C0105
T00134,2026-08-21,S002,P110,REFUND,1999,1,E006,C0176
T00135,2026-08-05,S007,P107,DISCOUNT,1839,1,E002,C0134
T00136,2026-08-11,S001,P108,SALE,3999,1,E003,C0115
T00137,2026-08-23,S011,P107,VOID,2299,1,E006,C0117
T00138,2026-08-12,S009,P103,SALE,7999,1,E002,C0183
T00139,2026-08-27,S008,P108,SALE,3999,1,E001,C0125
T00140,2026-08-15,S010,P106,DISCOUNT,1199,1,E004,C0029
T00141,2026-08-02,S009,P105,SALE,2999,1,E005,C0097
T00142,2026-08-02,S002,P102,REFUND,3499,1,E001,C0130
T00143,2026-08-27,S004,P109,VOID,3299,1,E004,C0002
T00144,2026-08-23,S012,P101,SALE,4999,1,E002,C0007
T00145,2026-08-18,S004,P105,SALE,2999,1,E003,C0152
T00146,2026-08-03,S009,P108,RETURN,3999,1,E003,C0153
T00147,2026-08-26,S001,P106,SALE,1499,1,E004,C0196
T00148,2026-08-10,S006,P102,DISCOUNT,2799,1,E003,C0072
T00149,2026-08-08,S001,P101,RETURN,4999,1,E002,C0006
T00150,2026-08-24,S008,P105,SALE,2999,1,E005,C0107
T00151,2026-08-09,S008,P106,SALE,1499,1,E001,C0139
T00152,2026-08-03,S008,P105,SALE,2999,1,E002,C0114
T00153,2026-08-16,S012,P105,DISCOUNT,2399,1,E004,C0045
T00154,2026-08-20,S003,P101,SALE,4999,1,E006,C0039
T00155,2026-08-01,S003,P105,DISCOUNT,2399,1,E003,C0001
T00156,2026-08-08,S005,P103,SALE,7999,1,E005,C0168
T00157,2026-08-14,S009,P107,SALE,2299,1,E004,C0047
T00158,2026-08-25,S007,P105,SALE,2999,1,E003,C0164
T00159,2026-08-02,S005,P105,RETURN,2999,1,E002,C0168
T00160,2026-08-05,S008,P102,SALE,3499,1,E003,C0060
T00161,2026-08-21,S010,P107,SALE,2299,1,E002,C0097
T00162,2026-08-15,S007,P109,SALE,3299,1,E003,C0161
T00163,2026-08-01,S003,P103,SALE,7999,1,E005,C0192
T00164,2026-08-14,S010,P110,SALE,1999,1,E006,C0133
T00165,2026-08-03,S008,P101,SALE,4999,1,E004,C0062
T00166,2026-08-12,S003,P106,DISCOUNT,1199,1,E002,C0017
T00167,2026-08-26,S011,P107,SALE,2299,1,E006,C0127
T00168,2026-08-15,S004,P102,RETURN,3499,1,E005,C0045
T00169,2026-08-14,S005,P108,SALE,3999,1,E003,C0154
T00170,2026-08-21,S001,P109,SALE,3299,1,E005,C0068
T00171,2026-08-06,S009,P109,SALE,3299,1,E001,C0189
T00172,2026-08-06,S003,P107,SALE,2299,1,E006,C0109
T00173,2026-08-28,S004,P107,VOID,2299,1,E002,C0128
T00174,2026-08-19,S002,P109,DISCOUNT,2639,1,E005,C0149
T00175,2026-08-15,S003,P104,SALE,5999,1,E005,C0131
T00176,2026-08-08,S004,P108,SALE,3999,1,E002,C0187
T00177,2026-08-11,S005,P101,SALE,4999,1,E003,C0001
T00178,2026-08-15,S003,P110,SALE,1999,1,E006,C0016
T00179,2026-08-07,S003,P101,VOID,4999,1,E006,C0043
T00180,2026-08-12,S010,P105,REFUND,2999,1,E005,C0060
T00181,2026-08-04,S007,P109,SALE,3299,1,E004,C0070
T00182,2026-08-05,S008,P103,SALE,7999,1,E002,C0111
T00183,2026-08-25,S006,P103,SALE,7999,1,E005,C0194
T00184,2026-08-26,S012,P110,RETURN,1999,1,E003,C0085
T00185,2026-08-15,S003,P102,SALE,3499,1,E002,C0172
T00186,2026-08-27,S006,P105,SALE,2999,1,E005,C0155
T00187,2026-08-05,S012,P104,SALE,5999,1,E003,C0128
T00188,2026-08-27,S009,P108,SALE,3999,1,E003,C0020
T00189,2026-08-05,S006,P108,SALE,3999,1,E001,C0189
T00190,2026-08-12,S011,P110,SALE,1999,1,E006,C0069
T00191,2026-08-17,S008,P106,DISCOUNT,1199,1,E005,C0106
T00192,2026-08-25,S002,P108,REFUND,3999,1,E001,C0052
T00193,2026-08-03,S011,P110,RETURN,1999,1,E006,C0074
T00194,2026-08-26,S001,P107,RETURN,2299,1,E003,C0066
T00195,2026-08-18,S008,P104,REFUND,5999,1,E002,C0171
T00196,2026-08-26,S006,P103,DISCOUNT,6399,1,E005,C0184
T00197,2026-08-22,S011,P102,SALE,3499,1,E002,C0054
T00198,2026-08-08,S003,P108,SALE,3999,1,E002,C0138
T00199,2026-08-17,S010,P110,SALE,1999,1,E003,C0173
T00200,2026-08-27,S002,P106,SALE,1499,1,E002,C0010
T00201,2026-08-19,S004,P108,SALE,3999,1,E001,C0126
T00202,2026-08-24,S002,P110,RETURN,1999,1,E005,C0118
T00203,2026-08-08,S003,P102,RETURN,3499,1,E002,C0014
T00204,2026-08-14,S003,P101,SALE,4999,1,E001,C0132
T00205,2026-08-16,S003,P108,SALE,3999,1,E002,C0139
T00206,2026-08-19,S009,P109,SALE,3299,1,E002,C0042
T00207,2026-08-18,S012,P110,REFUND,1999,1,E001,C0044
T00208,2026-08-01,S003,P104,RETURN,5999,1,E006,C0180
T00209,2026-08-21,S008,P104,SALE,5999,1,E002,C0091
T00210,2026-08-03,S009,P110,REFUND,1999,1,E003,C0066
T00211,2026-08-23,S012,P107,DISCOUNT,1839,1,E006,C0142
T00212,2026-08-17,S010,P103,SALE,7999,1,E005,C0192
T00213,2026-08-06,S012,P108,RETURN,3999,1,E005,C0166
T00214,2026-08-05,S012,P109,VOID,3299,1,E001,C0077
T00215,2026-08-22,S006,P102,SALE,3499,1,E004,C0037
T00216,2026-08-25,S001,P107,SALE,2299,1,E005,C0034
T00217,2026-08-21,S006,P108,REFUND,3999,1,E004,C0155
T00218,2026-08-17,S001,P109,SALE,3299,1,E006,C0017
T00219,2026-08-10,S001,P110,VOID,1999,1,E005,C0194
T00220,2026-08-08,S006,P108,SALE,3999,1,E002,C0198
T00221,2026-08-10,S001,P108,SALE,3999,1,E006,C0144
T00222,2026-08-24,S012,P110,DISCOUNT,1599,1,E005,C0012
T00223,2026-08-28,S006,P104,VOID,5999,1,E005,C0195
T00224,2026-08-14,S009,P106,DISCOUNT,1199,1,E003,C0191
T00225,2026-08-03,S001,P107,DISCOUNT,1839,1,E003,C0035
T00226,2026-08-09,S006,P104,VOID,5999,1,E004,C0182
T00227,2026-08-12,S011,P104,SALE,5999,1,E004,C0166
T00228,2026-08-20,S002,P107,SALE,2299,1,E002,C0184
T00229,2026-08-03,S004,P101,VOID,4999,1,E002,C0185
T00230,2026-08-19,S005,P108,SALE,3999,1,E006,C0048
T00231,2026-08-20,S004,P108,SALE,3999,1,E001,C0058
T00232,2026-08-12,S008,P104,SALE,5999,1,E004,C0005
T00233,2026-08-20,S001,P107,RETURN,2299,1,E001,C0144
T00234,2026-08-16,S007,P103,SALE,7999,1,E001,C0084
T00235,2026-08-18,S002,P106,SALE,1499,1,E001,C0155
T00236,2026-08-21,S003,P107,SALE,2299,1,E004,C0006
T00237,2026-08-07,S001,P106,SALE,1499,1,E002,C0009
T00238,2026-08-20,S003,P106,SALE,1499,1,E006,C0071
T00239,2026-08-28,S009,P107,VOID,2299,1,E004,C0174
T00240,2026-08-05,S003,P106,VOID,1499,1,E006,C0136
T00241,2026-08-24,S011,P105,SALE,2999,1,E002,C0125
T00242,2026-08-27,S003,P109,SALE,3299,1,E005,C0194
T00243,2026-08-05,S010,P103,SALE,7999,1,E001,C0067
T00244,2026-08-13,S007,P107,SALE,2299,1,E001,C0063
T00245,2026-08-27,S004,P104,REFUND,5999,1,E006,C0088
T00246,2026-08-25,S004,P110,REFUND,1999,1,E001,C0065
T00247,2026-08-23,S011,P106,SALE,1499,1,E001,C0007
T00248,2026-08-26,S008,P108,DISCOUNT,3199,1,E003,C0196
T00249,2026-08-07,S006,P106,VOID,1499,1,E003,C0037
T00250,2026-08-21,S009,P110,SALE,1999,1,E003,C0014
T00251,2026-08-01,S011,P103,RETURN,7999,1,E002,C0004
T00252,2026-08-13,S004,P109,SALE,3299,1,E005,C0176
T00253,2026-08-26,S005,P106,SALE,1499,1,E005,C0039
T00254,2026-08-14,S007,P109,DISCOUNT,2639,1,E002,C0017
T00255,2026-08-10,S010,P106,RETURN,1499,1,E005,C0005
T00256,2026-08-06,S008,P107,RETURN,2299,1,E005,C0114
T00257,2026-08-15,S003,P102,RETURN,3499,1,E006,C0100
T00258,2026-08-13,S007,P101,SALE,4999,1,E004,C0157
T00259,2026-08-26,S005,P105,SALE,2999,1,E004,C0005
T00260,2026-08-06,S007,P108,SALE,3999,1,E006,C0010
T00261,2026-08-09,S004,P110,RETURN,1999,1,E006,C0147
T00262,2026-08-07,S002,P103,SALE,7999,1,E005,C0015
T00263,2026-08-01,S005,P105,DISCOUNT,2399,1,E005,C0049
T00264,2026-08-13,S001,P101,VOID,4999,1,E004,C0150
T00265,2026-08-10,S007,P102,REFUND,3499,1,E005,C0183
T00266,2026-08-03,S002,P101,RETURN,4999,1,E002,C0068
T00267,2026-08-14,S004,P101,REFUND,4999,1,E001,C0121
T00268,2026-08-24,S008,P108,SALE,3999,1,E003,C0035
T00269,2026-08-18,S012,P101,SALE,4999,1,E004,C0122
T00270,2026-08-01,S012,P109,REFUND,3299,1,E002,C0024
T00271,2026-08-07,S002,P109,SALE,3299,1,E006,C0054
T00272,2026-08-01,S006,P107,SALE,2299,1,E004,C0013
T00273,2026-08-18,S009,P102,SALE,3499,1,E003,C0119
T00274,2026-08-18,S005,P110,REFUND,1999,1,E003,C0142
T00275,2026-08-05,S003,P103,SALE,7999,1,E003,C0061
T00276,2026-08-14,S011,P104,DISCOUNT,4799,1,E001,C0125
T00277,2026-08-04,S011,P107,RETURN,2299,1,E005,C0001
T00278,2026-08-14,S003,P104,REFUND,5999,1,E002,C0124
T00279,2026-08-23,S001,P109,RETURN,3299,1,E003,C0171
T00280,2026-08-11,S010,P105,SALE,2999,1,E005,C0006
T00281,2026-08-18,S005,P106,VOID,1499,1,E002,C0121
T00282,2026-08-09,S008,P102,SALE,3499,1,E003,C0161
T00283,2026-08-17,S006,P109,DISCOUNT,2639,1,E004,C0076
T00284,2026-08-21,S012,P103,REFUND,7999,1,E003,C0170
T00285,2026-08-04,S012,P101,REFUND,4999,1,E002,C0031
T00286,2026-08-26,S006,P103,SALE,7999,1,E005,C0010
T00287,2026-08-09,S010,P109,DISCOUNT,2639,1,E001,C0154
T00288,2026-08-15,S008,P108,SALE,3999,1,E003,C0190
T00289,2026-08-24,S008,P106,RETURN,1499,1,E001,C0144
T00290,2026-08-14,S003,P104,REFUND,5999,1,E002,C0021
T00291,2026-08-03,S006,P104,DISCOUNT,4799,1,E002,C0150
T00292,2026-08-07,S002,P107,DISCOUNT,1839,1,E001,C0151
T00293,2026-08-12,S008,P109,SALE,3299,1,E002,C0149
T00294,2026-08-17,S005,P109,SALE,3299,1,E006,C0197
T00295,2026-08-23,S002,P105,SALE,2999,1,E001,C0139
T00296,2026-08-26,S010,P103,SALE,7999,1,E005,C0198
T00297,2026-08-22,S002,P105,RETURN,2999,1,E001,C0113
T00298,2026-08-14,S008,P104,RETURN,5999,1,E005,C0108
T00299,2026-08-18,S002,P103,RETURN,7999,1,E001,C0036
T00300,2026-08-11,S007,P102,SALE,3499,1,E005,C0023
T00301,2026-08-18,S011,P105,SALE,2999,1,E004,C0199
T00302,2026-08-22,S010,P101,REFUND,4999,1,E002,C0181
T00303,2026-08-25,S012,P108,SALE,3999,1,E002,C0178
T00304,2026-08-17,S003,P106,REFUND,1499,1,E006,C0095
T00305,2026-08-12,S007,P105,SALE,2999,1,E002,C0034
T00306,2026-08-07,S008,P102,SALE,3499,1,E004,C0060
T00307,2026-08-25,S001,P102,VOID,3499,1,E004,C0195
T00308,2026-08-23,S002,P103,SALE,7999,1,E004,C0130
T00309,2026-08-09,S008,P109,DISCOUNT,2639,1,E003,C0063
T00310,2026-08-16,S007,P104,SALE,5999,1,E005,C0012
T00311,2026-08-11,S004,P108,RETURN,3999,1,E005,C0159
T00312,2026-08-06,S011,P105,SALE,2999,1,E003,C0045
T00313,2026-08-05,S008,P101,VOID,4999,1,E003,C0101
T00314,2026-08-13,S010,P107,SALE,2299,1,E006,C0163
T00315,2026-08-28,S003,P107,SALE,2299,1,E004,C0139
T00316,2026-08-07,S002,P107,SALE,2299,1,E004,C0036
T00317,2026-08-18,S005,P102,SALE,3499,1,E004,C0079
T00318,2026-08-01,S011,P110,SALE,1999,1,E005,C0157
T00319,2026-08-20,S007,P107,SALE,2299,1,E006,C0143
T00320,2026-08-05,S004,P109,SALE,3299,1,E003,C0094
T00321,2026-08-05,S008,P105,REFUND,2999,1,E005,C0026
T00322,2026-08-14,S007,P110,SALE,1999,1,E002,C0072
T00323,2026-08-16,S004,P101,VOID,4999,1,E004,C0137
T00324,2026-08-08,S004,P109,REFUND,3299,1,E003,C0147
T00325,2026-08-25,S011,P105,RETURN,2999,1,E002,C0177
T00326,2026-08-16,S001,P105,RETURN,2999,1,E005,C0063
T00327,2026-08-10,S008,P110,SALE,1999,1,E006,C0122
T00328,2026-08-17,S003,P109,SALE,3299,1,E005,C0197
T00329,2026-08-22,S009,P106,REFUND,1499,1,E002,C0007
T00330,2026-08-02,S007,P110,REFUND,1999,1,E005,C0087
T00331,2026-08-25,S008,P106,SALE,1499,1,E006,C0003
T00332,2026-08-06,S010,P106,REFUND,1499,1,E005,C0067
T00333,2026-08-11,S004,P104,SALE,5999,1,E001,C0031
T00334,2026-08-22,S011,P108,RETURN,3999,1,E004,C0164
T00335,2026-08-02,S002,P110,SALE,1999,1,E002,C0189
T00336,2026-08-19,S002,P109,SALE,3299,1,E005,C0163
T00337,2026-08-28,S003,P104,REFUND,5999,1,E002,C0038
T00338,2026-08-12,S006,P102,SALE,3499,1,E006,C0131
T00339,2026-08-25,S003,P104,SALE,5999,1,E006,C0047
T00340,2026-08-01,S011,P106,SALE,1499,1,E002,C0176
T00341,2026-08-10,S011,P103,DISCOUNT,6399,1,E004,C0195
T00342,2026-08-14,S012,P102,SALE,3499,1,E002,C0054
T00343,2026-08-27,S004,P103,REFUND,7999,1,E001,C0053
T00344,2026-08-07,S008,P106,DISCOUNT,1199,1,E002,C0059
T00345,2026-08-27,S001,P109,VOID,3299,1,E005,C0030
T00346,2026-08-20,S008,P110,RETURN,1999,1,E004,C0186
T00347,2026-08-26,S001,P105,SALE,2999,1,E005,C0114
T00348,2026-08-15,S002,P103,SALE,7999,1,E004,C0127
T00349,2026-08-20,S011,P101,VOID,4999,1,E006,C0072
T00350,2026-08-14,S003,P104,SALE,5999,1,E005,C0130
T00351,2026-08-24,S002,P101,SALE,4999,1,E003,C0029
T00352,2026-08-12,S009,P109,REFUND,3299,1,E004,C0003
T00353,2026-08-13,S001,P102,SALE,3499,1,E005,C0097
T00354,2026-08-14,S008,P102,SALE,3499,1,E003,C0052
T00355,2026-08-24,S009,P109,VOID,3299,1,E004,C0109
T00356,2026-08-01,S011,P110,RETURN,1999,1,E001,C0041
T00357,2026-08-19,S008,P104,RETURN,5999,1,E006,C0048
T00358,2026-08-17,S012,P109,RETURN,3299,1,E002,C0185
T00359,2026-08-23,S002,P106,VOID,1499,1,E003,C0161
T00360,2026-08-26,S009,P107,VOID,2299,1,E003,C0076
T00361,2026-08-21,S002,P110,VOID,1999,1,E005,C0072
T00362,2026-08-02,S002,P110,RETURN,1999,1,E004,C0169
T00363,2026-08-02,S004,P101,REFUND,4999,1,E002,C0148
T00364,2026-08-25,S002,P101,SALE,4999,1,E006,C0079
T00365,2026-08-09,S005,P103,SALE,7999,1,E006,C0003
T00366,2026-08-03,S004,P102,SALE,3499,1,E004,C0003
T00367,2026-08-20,S010,P108,VOID,3999,1,E003,C0079
T00368,2026-08-18,S001,P101,DISCOUNT,3999,1,E004,C0123
T00369,2026-08-01,S007,P103,SALE,7999,1,E001,C0077
T00370,2026-08-04,S010,P101,SALE,4999,1,E003,C0081
T00371,2026-08-15,S007,P107,SALE,2299,1,E006,C0139
T00372,2026-08-14,S009,P101,VOID,4999,1,E003,C0194
T00373,2026-08-12,S003,P107,SALE,2299,1,E003,C0099
T00374,2026-08-20,S006,P107,RETURN,2299,1,E005,C0124
T00375,2026-08-02,S006,P107,VOID,2299,1,E003,C0089
T00376,2026-08-19,S003,P107,SALE,2299,1,E003,C0124
T00377,2026-08-04,S007,P106,SALE,1499,1,E003,C0082
T00378,2026-08-12,S002,P101,SALE,4999,1,E006,C0137
T00379,2026-08-13,S002,P110,REFUND,1999,1,E005,C0195
T00380,2026-08-16,S008,P101,REFUND,4999,1,E005,C0163
T00381,2026-08-18,S012,P104,REFUND,5999,1,E006,C0020
T00382,2026-08-15,S008,P102,DISCOUNT,2799,1,E005,C0017
T00383,2026-08-05,S012,P108,VOID,3999,1,E003,C0082
T00384,2026-08-20,S008,P110,VOID,1999,1,E005,C0113
T00385,2026-08-07,S007,P103,REFUND,7999,1,E003,C0095
T00386,2026-08-14,S011,P103,VOID,7999,1,E005,C0184
T00387,2026-08-09,S011,P101,REFUND,4999,1,E006,C0165
T00388,2026-08-05,S004,P101,REFUND,4999,1,E006,C0025
T00389,2026-08-20,S007,P107,REFUND,2299,1,E005,C0049
T00390,2026-08-28,S007,P108,SALE,3999,1,E003,C0074
T00391,2026-08-01,S008,P104,REFUND,5999,1,E003,C0097
T00392,2026-08-05,S005,P110,DISCOUNT,1599,1,E001,C0123
T00393,2026-08-20,S012,P102,SALE,3499,1,E003,C0089
T00394,2026-08-01,S001,P105,REFUND,2999,1,E004,C0138
T00395,2026-08-06,S001,P108,RETURN,3999,1,E006,C0161
T00396,2026-08-17,S002,P107,SALE,2299,1,E004,C0140
T00397,2026-08-14,S008,P110,DISCOUNT,1599,1,E006,C0008
T00398,2026-08-16,S009,P109,RETURN,3299,1,E003,C0177
T00399,2026-08-14,S005,P101,SALE,4999,1,E001,C0155
T00400,2026-08-08,S005,P108,SALE,3999,1,E001,C0009
T00401,2026-08-06,S010,P102,SALE,3499,1,E002,C0097
T00402,2026-08-08,S003,P107,VOID,2299,1,E001,C0180
T00403,2026-08-06,S009,P108,RETURN,3999,1,E002,C0009
T00404,2026-08-17,S010,P110,SALE,1999,1,E002,C0011
T00405,2026-08-19,S002,P105,SALE,2999,1,E002,C0096
T00406,2026-08-18,S009,P108,REFUND,3999,1,E002,C0142
T00407,2026-08-03,S005,P108,SALE,3999,1,E005,C0043
T00408,2026-08-02,S010,P105,RETURN,2999,1,E005,C0076
T00409,2026-08-23,S007,P101,REFUND,4999,1,E002,C0006
T00410,2026-08-25,S005,P102,SALE,3499,1,E001,C0147
T00411,2026-08-04,S002,P107,VOID,2299,1,E003,C0102
T00412,2026-08-18,S001,P103,DISCOUNT,6399,1,E001,C0146
T00413,2026-08-23,S003,P110,SALE,1999,1,E001,C0192
